run,stratum,MAE,DirAcc,n_obs
ablation_full_s42,news,0.034101088996976614,0.5362323997441295,22610
ablation_full_s42,no_news,0.02607904700562358,0.5743421052631579,390
ablation_full_s43,news,0.03320398926734924,0.5551330921162012,22610
ablation_full_s43,no_news,0.026225957088172436,0.6357894736842106,390
ablation_full_s44,news,0.03329375572502613,0.5480821702215196,22610
ablation_full_s44,no_news,0.02673101145774126,0.5768421052631578,390
ablation_full_s45,news,0.03501231223344803,0.5146159772534499,22610
ablation_full_s45,no_news,0.026475639548152685,0.5848684210526316,390
ablation_full_s46,news,0.03440006356686354,0.5081982179238982,22610
ablation_full_s46,no_news,0.026864372193813324,0.6307894736842106,390
ablation_no_macro_s42,news,0.03383550699800253,0.5420865169204238,22610
ablation_no_macro_s42,no_news,0.026811769232153893,0.6103947368421052,390
ablation_no_macro_s43,news,0.03352259611710906,0.5428972699631129,22610
ablation_no_macro_s43,no_news,0.027015678118914366,0.6032894736842105,390
ablation_no_macro_s44,news,0.03374468581750989,0.5206105477545109,22610
ablation_no_macro_s44,no_news,0.026510850060731173,0.5953947368421053,390
ablation_no_macro_s45,news,0.034107097424566746,0.5535895321345744,22610
ablation_no_macro_s45,no_news,0.026626634877175093,0.5717105263157894,390
ablation_no_macro_s46,news,0.0338682415895164,0.5156984363155774,22610
ablation_no_macro_s46,no_news,0.029476001858711243,0.525921052631579,390
ablation_no_sentiment_s42,news,0.03360976278781891,0.5494026804408412,22610
ablation_no_sentiment_s42,no_news,0.02659087209030986,0.6085526315789473,390
ablation_no_sentiment_s43,news,0.03319716081023216,0.5379976998424763,22610
ablation_no_sentiment_s43,no_news,0.028047893662005663,0.6032894736842105,390
ablation_no_sentiment_s44,news,0.03401499940082431,0.5413856071429578,22610
ablation_no_sentiment_s44,no_news,0.025514873676002026,0.7682894736842105,390
ablation_no_sentiment_s45,news,0.03539203619584441,0.510430711365103,22610
ablation_no_sentiment_s45,no_news,0.03256511129438877,0.36907894736842106,390
ablation_no_sentiment_s46,news,0.03364375652745366,0.5483572190426272,22610
ablation_no_sentiment_s46,no_news,0.027705243788659573,0.5927631578947368,390
ablation_numerical_only_s42,news,0.03300662664696574,0.5533711214342274,22610
ablation_numerical_only_s42,no_news,0.026453361846506596,0.6032894736842105,390
ablation_numerical_only_s43,news,0.03691212087869644,0.5124021069865612,22610
ablation_numerical_only_s43,no_news,0.027056913822889328,0.5957894736842105,390
ablation_numerical_only_s44,news,0.03392067085951567,0.5434918624442396,22610
ablation_numerical_only_s44,no_news,0.028074925299733877,0.6032894736842105,390
ablation_numerical_only_s45,news,0.033370026387274265,0.5595074725178729,22610
ablation_numerical_only_s45,no_news,0.026890214066952467,0.6082894736842106,390
ablation_numerical_only_s46,news,0.03332196408882737,0.5387699631129409,22610
ablation_numerical_only_s46,no_news,0.02764296205714345,0.5686842105263158,390
ablation_perm_macro_s42,news,0.033025961834937334,0.5513711467958419,22610
ablation_perm_macro_s42,no_news,0.026143893599510193,0.6182894736842106,390
ablation_perm_macro_s43,news,0.03773871576413512,0.5170131528149983,22610
ablation_perm_macro_s43,no_news,0.027342318557202816,0.6032894736842105,390
ablation_perm_macro_s44,news,0.03308028448373079,0.5508339610332885,22610
ablation_perm_macro_s44,no_news,0.02728312462568283,0.6032894736842105,390
ablation_perm_macro_s45,news,0.034058067947626114,0.5242929970946861,22610
