run,mean_abs_err,ci_lo,ci_hi,n
ablation_full_s42,0.03393402695655823,0.03039181483909488,0.03768060728907585,460
ablation_full_s43,0.03305969014763832,0.02969908290542662,0.03643730143085122,460
ablation_full_s44,0.03315513953566551,0.02961888178251684,0.03678872352465987,460
ablation_full_s45,0.034856706857681274,0.031462850328534846,0.038520338665694,460
ablation_full_s46,0.03426844999194145,0.031002799933776266,0.03770498037338257,460
ablation_no_macro_s42,0.03368322551250458,0.029956981958821415,0.03746856590732932,460
ablation_no_macro_s43,0.033377788960933685,0.029929373366758227,0.03702352307736874,460
ablation_no_macro_s44,0.03359408304095268,0.030035473592579364,0.037232971843332054,460
ablation_no_macro_s45,0.03393951430916786,0.03048351062461734,0.037690687086433174,460
ablation_no_macro_s46,0.033758994191884995,0.030145249050110578,0.03750064810737967,460
ablation_no_sentiment_s42,0.03345071151852608,0.029755577631294727,0.03714363863691687,460
ablation_no_sentiment_s43,0.03309177607297897,0.02948950445279479,0.03679959997534752,460
ablation_no_sentiment_s44,0.03384948521852493,0.030382468644529582,0.037440852727741,460
ablation_no_sentiment_s45,0.035319555550813675,0.031722381617873906,0.0392442368902266,460
ablation_no_sentiment_s46,0.033509884029626846,0.029744209023192525,0.037277419585734606,460
ablation_numerical_only_s42,0.03287260979413986,0.02928889538161457,0.036469653807580465,460
ablation_numerical_only_s43,0.03677745535969734,0.03323586378246546,0.040655627939850086,460
ablation_numerical_only_s44,0.03379885479807854,0.030316440854221582,0.03744446001946926,460
ablation_numerical_only_s45,0.03323030471801758,0.029482711106538773,0.03719641165807843,460
ablation_numerical_only_s46,0.03320027142763138,0.029700643522664907,0.036808503326028585,460
ablation_perm_macro_s42,0.03288596495985985,0.02937366510741413,0.036424461379647256,460
ablation_perm_macro_s43,0.03762482479214668,0.03423854168504477,0.041643102560192345,460
ablation_perm_macro_s44,0.03294660896062851,0.029403330758213997,0.036581283900886774,460
ablation_perm_macro_s45,0.033897992223501205,0.030095586180686952,0.03782175537198782,460
ablation_perm_macro_s46,0.03301098570227623,0.029455626429989935,0.0368474405258894,460
ablation_perm_sentiment_s42,0.0344151146709919,0.030669892160221934,0.03828196367248893,460
ablation_perm_sentiment_s43,0.03374037146568298,0.030158684635534883,0.037338736932724714,460
ablation_perm_sentiment_s44,0.03349536657333374,0.029869486298412084,0.037235690467059615,460
ablation_perm_sentiment_s45,0.03404686972498894,0.030389411328360438,0.03784370953217149,460
ablation_perm_sentiment_s46,0.03459835425019264,0.031033047707751393,0.03806550186127424,460
ablation_point_only_s42,0.034563325345516205,0.031340451631695035,0.03805368477478623,460
ablation_point_only_s43,0.03449191898107529,0.03128710431046784,0.0381186917424202,460
ablation_point_only_s44,0.033652521669864655,0.030246321531012654,0.03723422950133681,460
ablation_point_only_s45,0.03362538293004036,0.030146044306457044,0.03738770494237542,460
ablation_point_only_s46,0.03339220955967903,0.029983293218538164,0.03696901686489582,460
ablation_static_fusion_s42,0.033083412796258926,0.029592292848974466,0.03693022532388568,460
ablation_static_fusion_s43,0.03350277990102768,0.030121909268200398,0.03706434490159154,460
ablation_static_fusion_s44,0.03291376680135727,0.029401026666164398,0.03663003416731954,460
ablation_static_fusion_s45,0.03445460647344589,0.030648444918915628,0.03844413477927446,460
ablation_static_fusion_s46,0.034054145216941833,0.030534882051870226,0.03775906777009368,460
baseline_arima,0.032797964290416586,0.029340355661166648,0.03633954344273776,460
baseline_cnn_bilstm,0.034743208438158035,0.030944863334298134,0.03850823314860463,460
baseline_cnn_bilstm_attn,0.0331704244017601,0.02960966294631362,0.03685146970674395,460
baseline_dcc_garch,0.032868986188812364,0.029413824875283993,0.03647322826387722,460
baseline_garch,0.032868986188812364,0.029413824875283993,0.03647322826387722,460
baseline_garch_midas,0.032812404440868526,0.029334857131192747,0.03640310072660509,460
