run,in_mcs,mcs_pvalue,mean_abs_err
dramt_tg_seed47,True,1.0,0.03275906667113304
baseline_arima,True,1.0,0.032797964290416586
baseline_garch_midas,True,1.0,0.032812404440868526
dramt_gate_time,True,1.0,0.032835036516189575
baseline_garch,True,1.0,0.032868986188812364
baseline_dcc_garch,True,1.0,0.032868986188812364
ablation_numerical_only_s42,True,1.0,0.03287260979413986
ablation_perm_macro_s42,True,1.0,0.03288596495985985
ablation_static_fusion_s44,True,1.0,0.03291376680135727
dramt_seed43,True,1.0,0.03292772173881531
ablation_perm_macro_s44,True,1.0,0.03294660896062851
dramt_tg_seed50,True,1.0,0.03296804428100586
dramt_rank,True,1.0,0.03297730162739754
dramt_ensemble,True,1.0,0.03298606351017952
dramt_t,True,1.0,0.03298920765519142
dramt_seed50,True,1.0,0.03299163654446602
dramt_tg_ensemble,True,1.0,0.03300600126385689
ablation_perm_macro_s46,True,1.0,0.03301098570227623
dramt_seed47,True,1.0,0.03305293247103691
ablation_full_s43,True,1.0,0.03305969014763832
baseline_har_rv,True,1.0,0.03307559228607888
baseline_martingale,True,1.0,0.03307559228607888
ablation_static_fusion_s42,True,1.0,0.033083412796258926
dramt_gate_ext_time,True,1.0,0.03309124335646629
ablation_no_sentiment_s43,True,1.0,0.03309177607297897
dramt_seed44,True,1.0,0.03311489522457123
ablation_full_s44,True,1.0,0.03315513953566551
baseline_cnn_bilstm_attn,True,1.0,0.0331704244017601
ablation_numerical_only_s46,True,1.0,0.03320027142763138
ablation_numerical_only_s45,True,1.0,0.03323030471801758
dramt_tg_seed45,True,1.0,0.03324853628873825
baseline_sentiment_lstm,True,1.0,0.03329290449619293
dramt_seed51,True,1.0,0.03329570218920708
dramt_lam1_5,True,1.0,0.033300720155239105
dramt_tg_seed51,True,1.0,0.03330259770154953
dramt_garch,True,1.0,0.03330465033650398
dramt_t_garch,True,1.0,0.033324647694826126
ablation_no_macro_s43,True,1.0,0.033377788960933685
ablation_point_only_s46,True,1.0,0.03339220955967903
dramt_riskonly,True,1.0,0.03340981528162956
dramt_rank_only,True,1.0,0.03342587873339653
ablation_no_sentiment_s42,True,1.0,0.03345071151852608
ablation_perm_sentiment_s44,True,1.0,0.03349536657333374
ablation_static_fusion_s43,True,1.0,0.03350277990102768
ablation_no_sentiment_s46,True,1.0,0.033509884029626846
dramt_gpu,True,1.0,0.03352487459778786
ablation_no_macro_s44,True,1.0,0.03359408304095268
baseline_transformer,True,1.0,0.03361639007925987
ablation_point_only_s45,True,1.0,0.03362538293004036
dramt_tg_seed42,True,1.0,0.03364650532603264
ablation_point_only_s44,True,1.0,0.033652521669864655
ablation_no_macro_s42,True,1.0,0.03368322551250458
ablation_perm_sentiment_s43,True,1.0,0.03374037146568298
dramt_gate_ext,True,1.0,0.03375152498483658
ablation_no_macro_s46,True,1.0,0.033758994191884995
ablation_numerical_only_s44,True,1.0,0.03379885479807854
dramt_tg_seed49,True,1.0,0.03380686417222023
dramt_seed49,True,1.0,0.03382907062768936
baseline_gru,True,1.0,0.03384341672062874
ablation_no_sentiment_s44,True,1.0,0.03384948521852493
ablation_perm_macro_s45,True,1.0,0.033897992223501205
ablation_full_s42,True,1.0,0.03393402695655823
ablation_no_macro_s45,True,1.0,0.03393951430916786
dramt_seed42,True,1.0,0.03396578133106232
ablation_perm_sentiment_s45,True,1.0,0.03404686972498894
ablation_static_fusion_s46,True,1.0,0.034054145216941833
dramt_lam1_2,True,1.0,0.034181512892246246
dramt_tg_seed43,True,1.0,0.03419307619333267
ablation_full_s46,True,1.0,0.03426844999194145
ablation_perm_sentiment_s42,True,1.0,0.0344151146709919
baseline_lstm,True,1.0,0.03443719819188118
dramt_tg_seed48,True,1.0,0.034446679055690765
ablation_static_fusion_s45,True,1.0,0.03445460647344589
dramt_seed46,True,1.0,0.03448362648487091
ablation_point_only_s43,True,1.0,0.03449191898107529
ablation_point_only_s42,True,1.0,0.034563325345516205
ablation_perm_sentiment_s46,True,1.0,0.03459835425019264
baseline_cnn_bilstm,True,1.0,0.034743208438158035
dramt_tg_seed46,True,1.0,0.034839384257793427
ablation_full_s45,True,1.0,0.034856706857681274
dramt_seed45,True,1.0,0.03502983599901199
ablation_no_sentiment_s45,True,1.0,0.035319555550813675
dramt_t_har,True,1.0,0.035440851002931595
dramt_seed48,True,1.0,0.035655561834573746
dramt_tg_seed44,True,1.0,0.03571411222219467
baseline_tft,True,1.0,0.03576192785964459
ablation_numerical_only_s43,True,1.0,0.03677745535969734
ablation_perm_macro_s43,True,1.0,0.03762482479214668
