Model,RMSE,DirAcc,CRPS,Coverage 95\%,VaR breach (\%)
ARIMA,0.0421 $\pm$ 0.0067,0.545 $\pm$ 0.057,--,--,--
dramt_final_s44,0.0421 $\pm$ 0.0067,0.545 $\pm$ 0.057,0.0228 $\pm$ 0.0027,0.927,11.85
GARCH-MIDAS,0.0423 $\pm$ 0.0066,0.529 $\pm$ 0.031,0.0222 $\pm$ 0.0031,0.941,4.74
DCC-GARCH,0.0424 $\pm$ 0.0065,0.529 $\pm$ 0.031,0.0221 $\pm$ 0.0031,0.940,5.39
"GARCH(1,1)",0.0424 $\pm$ 0.0065,0.529 $\pm$ 0.031,0.0221 $\pm$ 0.0031,0.940,4.31
DRAM-T (proposed),0.0428 $\pm$ 0.0058,0.511 $\pm$ 0.039,0.0231 $\pm$ 0.0024,0.929,11.85
"DRAM-T (interim, no sentiment)",0.0428 $\pm$ 0.0058,0.512 $\pm$ 0.038,0.0226 $\pm$ 0.0029,0.911,14.44
LSTM,0.0428 $\pm$ 0.0059,0.514 $\pm$ 0.038,--,--,--
dramt_final_s43,0.0428 $\pm$ 0.0062,0.521 $\pm$ 0.030,0.0229 $\pm$ 0.0029,0.920,13.15
CNN-BiLSTM-Attn,0.0428 $\pm$ 0.0063,0.516 $\pm$ 0.035,--,--,--
Sentiment-LSTM,0.0429 $\pm$ 0.0071,0.536 $\pm$ 0.041,--,--,--
Transformer (OHLCV),0.0431 $\pm$ 0.0058,0.514 $\pm$ 0.014,--,--,--
GRU,0.0434 $\pm$ 0.0060,0.498 $\pm$ 0.029,--,--,--
CNN-BiLSTM,0.0437 $\pm$ 0.0069,0.506 $\pm$ 0.052,--,--,--
