Model,MAE,RMSE,DirAcc
GARCH-MIDAS,0.0328 $\pm$ 0.0048,0.0451 $\pm$ 0.0070,0.536 $\pm$ 0.031
ARIMA,0.0328 $\pm$ 0.0049,0.0449 $\pm$ 0.0071,0.551 $\pm$ 0.056
DRAM-T (per-timestep gate),0.0328 $\pm$ 0.0050,0.0451 $\pm$ 0.0072,0.558 $\pm$ 0.051
DCC-GARCH,0.0329 $\pm$ 0.0048,0.0452 $\pm$ 0.0069,0.536 $\pm$ 0.031
"GARCH(1,1)",0.0329 $\pm$ 0.0048,0.0452 $\pm$ 0.0069,0.536 $\pm$ 0.031
DRAM-T (+ ranking loss),0.0330 $\pm$ 0.0049,0.0452 $\pm$ 0.0072,0.549 $\pm$ 0.040
DRAM-T (Student-$t$),0.0330 $\pm$ 0.0049,0.0453 $\pm$ 0.0071,0.547 $\pm$ 0.040
DRAM-T (10-seed ensemble),0.0330 $\pm$ 0.0050,0.0452 $\pm$ 0.0072,0.549 $\pm$ 0.053
HAR-RV,0.0331 $\pm$ 0.0044,0.0450 $\pm$ 0.0065,0.000 $\pm$ 0.000
Martingale (zero forecast),0.0331 $\pm$ 0.0044,0.0450 $\pm$ 0.0065,0.000 $\pm$ 0.000
DRAM-T (extended + per-timestep gate),0.0331 $\pm$ 0.0050,0.0455 $\pm$ 0.0071,0.551 $\pm$ 0.045
CNN-BiLSTM-Attn,0.0332 $\pm$ 0.0050,0.0456 $\pm$ 0.0073,0.566 $\pm$ 0.038
"DRAM-T (Gaussian, GARCH-hybrid vol)",0.0333 $\pm$ 0.0047,0.0455 $\pm$ 0.0069,0.531 $\pm$ 0.060
Sentiment-LSTM,0.0333 $\pm$ 0.0051,0.0455 $\pm$ 0.0074,0.543 $\pm$ 0.042
"DRAM-T (Student-$t$, GARCH-hybrid vol)",0.0333 $\pm$ 0.0052,0.0454 $\pm$ 0.0074,0.557 $\pm$ 0.039
DRAM-T ($\lambda_1=5$),0.0333 $\pm$ 0.0053,0.0454 $\pm$ 0.0074,0.519 $\pm$ 0.076
DRAM-T (ranking replaces mean),0.0334 $\pm$ 0.0045,0.0454 $\pm$ 0.0065,0.480 $\pm$ 0.023
DRAM-T (risk-only loss),0.0334 $\pm$ 0.0046,0.0454 $\pm$ 0.0066,0.513 $\pm$ 0.031
DRAM-T (Gaussian),0.0335 $\pm$ 0.0046,0.0459 $\pm$ 0.0067,0.543 $\pm$ 0.043
Transformer (OHLCV),0.0336 $\pm$ 0.0045,0.0462 $\pm$ 0.0066,0.529 $\pm$ 0.028
GRU,0.0338 $\pm$ 0.0042,0.0460 $\pm$ 0.0064,0.512 $\pm$ 0.036
DRAM-T (extended gate signals),0.0338 $\pm$ 0.0047,0.0462 $\pm$ 0.0067,0.541 $\pm$ 0.049
DRAM-T ($\lambda_1=2$),0.0342 $\pm$ 0.0052,0.0464 $\pm$ 0.0074,0.508 $\pm$ 0.068
LSTM,0.0344 $\pm$ 0.0054,0.0470 $\pm$ 0.0078,0.496 $\pm$ 0.026
CNN-BiLSTM,0.0347 $\pm$ 0.0065,0.0472 $\pm$ 0.0086,0.512 $\pm$ 0.062
"DRAM-T (Student-$t$, HAR-hybrid vol)",0.0354 $\pm$ 0.0053,0.0481 $\pm$ 0.0072,0.525 $\pm$ 0.062
Temporal Fusion Transformer,0.0358 $\pm$ 0.0064,0.0485 $\pm$ 0.0080,0.513 $\pm$ 0.037
