run,mean_abs_err,ci_lo,ci_hi,n
ablation_full,0.030704373493790627,0.0294821840710938,0.03188215736299753,464
ablation_no_macro,0.031051907688379288,0.029754311358556152,0.032323007751256225,464
ablation_no_sentiment,0.03146931901574135,0.03022657404653728,0.03273089965805411,464
ablation_numerical_only,0.03091278485953808,0.029686345206573605,0.03215070459991694,464
ablation_point_only,0.03068310208618641,0.02943231095559895,0.031890903506428,464
ablation_static_fusion,0.03030277043581009,0.02905024462379515,0.031520955730229616,464
baseline_arima,0.030055291306550977,0.028851648374610173,0.0312570453958988,464
baseline_cnn_bilstm,0.03125310316681862,0.029937560157850384,0.03247457407414913,464
baseline_cnn_bilstm_attn,0.03047480434179306,0.02921911105513573,0.03167347712442279,464
baseline_dcc_garch,0.030153633741412732,0.028957848425080892,0.03136857341461901,464
baseline_garch,0.030153633741412732,0.028957848425080892,0.03136857341461901,464
baseline_garch_midas,0.03008037080344777,0.028869866299047378,0.0313256292313109,464
baseline_gru,0.03110591508448124,0.029850478610023858,0.0323319430463016,464
baseline_lstm,0.03058571182191372,0.029367762012407185,0.031793334148824216,464
baseline_sentiment_lstm,0.03060762584209442,0.0293401884380728,0.03179751168936491,464
baseline_transformer,0.03093975968658924,0.029730078065767884,0.03215150134637952,464
dramt_final,0.030704373493790627,0.0294821840710938,0.03188215736299753,464
dramt_final_s43,0.03081403858959675,0.02964265486225486,0.03202316649258137,464
dramt_final_s44,0.030288215726614,0.029076103819534183,0.031478230562061074,464
dramt_full,0.03069961629807949,0.029470456903800367,0.031870446540415286,464
