Model,MAE,MSE,RMSE,MAPE (\%),DirAcc
GARCH-MIDAS,0.0301 $\pm$ 0.0044,0.001833 $\pm$ 0.000554,0.0423 $\pm$ 0.0066,141.8 $\pm$ 17.7,0.529 $\pm$ 0.031
ARIMA,0.0301 $\pm$ 0.0045,0.001814 $\pm$ 0.000557,0.0421 $\pm$ 0.0067,123.4 $\pm$ 4.6,0.545 $\pm$ 0.057
DCC-GARCH,0.0302 $\pm$ 0.0043,0.001840 $\pm$ 0.000549,0.0424 $\pm$ 0.0065,136.0 $\pm$ 8.2,0.529 $\pm$ 0.031
"GARCH(1,1)",0.0302 $\pm$ 0.0043,0.001840 $\pm$ 0.000549,0.0424 $\pm$ 0.0065,136.0 $\pm$ 8.2,0.529 $\pm$ 0.031
dramt_final_s44,0.0303 $\pm$ 0.0047,0.001816 $\pm$ 0.000561,0.0421 $\pm$ 0.0067,149.0 $\pm$ 40.2,0.545 $\pm$ 0.057
CNN-BiLSTM-Attn,0.0305 $\pm$ 0.0042,0.001869 $\pm$ 0.000536,0.0428 $\pm$ 0.0063,144.2 $\pm$ 19.1,0.516 $\pm$ 0.035
LSTM,0.0306 $\pm$ 0.0039,0.001869 $\pm$ 0.000509,0.0428 $\pm$ 0.0059,143.2 $\pm$ 14.0,0.514 $\pm$ 0.038
Sentiment-LSTM,0.0306 $\pm$ 0.0047,0.001887 $\pm$ 0.000607,0.0429 $\pm$ 0.0071,149.0 $\pm$ 6.5,0.536 $\pm$ 0.041
DRAM-T (proposed),0.0307 $\pm$ 0.0037,0.001867 $\pm$ 0.000499,0.0428 $\pm$ 0.0058,150.9 $\pm$ 23.9,0.511 $\pm$ 0.039
"DRAM-T (interim, no sentiment)",0.0307 $\pm$ 0.0038,0.001868 $\pm$ 0.000499,0.0428 $\pm$ 0.0058,154.2 $\pm$ 22.0,0.512 $\pm$ 0.038
dramt_final_s43,0.0308 $\pm$ 0.0041,0.001866 $\pm$ 0.000527,0.0428 $\pm$ 0.0062,161.5 $\pm$ 23.6,0.521 $\pm$ 0.030
Transformer (OHLCV),0.0309 $\pm$ 0.0037,0.001893 $\pm$ 0.000499,0.0431 $\pm$ 0.0058,152.8 $\pm$ 26.1,0.514 $\pm$ 0.014
GRU,0.0311 $\pm$ 0.0038,0.001918 $\pm$ 0.000521,0.0434 $\pm$ 0.0060,154.0 $\pm$ 9.0,0.498 $\pm$ 0.029
CNN-BiLSTM,0.0313 $\pm$ 0.0046,0.001961 $\pm$ 0.000601,0.0437 $\pm$ 0.0069,170.9 $\pm$ 24.6,0.506 $\pm$ 0.052
